统计年度,地区名称,人口数,0-14岁人口数,15-64岁人口数,65岁及以上人口数,总抚养比,少年儿童抚养比,老年人口抚养比,老龄化率,养老床位,经济(亿元),养保支出(亿元),养老床位_5年均值增长率,老龄化率增长率,床位增长率,经济增长率,养保支出增长率,老龄化率_lag1,老年人口抚养比_lag1,养老床位_lag1,65岁及以上人口数_lag1,人口数_lag1,15-64岁人口数_lag1,经济(亿元)_lag1,养保支出(亿元)_lag1,老龄化率_3年均值,老龄化率_3年标准差,老年人口抚养比_3年均值,老年人口抚养比_3年标准差,养老床位_3年均值,养老床位_3年标准差,65岁及以上人口数_3年均值,65岁及以上人口数_3年标准差,经济(亿元)_3年均值,经济(亿元)_3年标准差,养保支出(亿元)_3年均值,养保支出(亿元)_3年标准差,床位覆盖率
2015,云南省,0.09329266625926236,0.27201177205664484,0.13392532019966694,-0.3871295385918393,-0.3263363821967787,0.39330683438417635,-1.0643470362335665,-1.093799099517259,-0.8072594802727459,-0.5799817380773342,-0.4909684165897372,-0.7545394657424703,-1.43921357158722,-0.422840049825306,-0.3523331714752716,0.5479474489816486,-0.8650131727350705,-0.825550305424346,-0.7584716204027454,-0.29803145339270015,0.08919966151190482,0.11094429786141,-0.5707806732710461,-0.6135793315419442,-1.0120919531255017,-0.6840633675657695,-0.9638581157094401,-0.8452806543759123,-0.7654132368239813,-0.5838073976868526,-0.3458048601206317,-0.43025951908266125,-0.5798409662633995,-0.5429143153106982,-0.5655383218614468,-0.027729956395804105,-1.169740428972807
2016,云南省,0.10391179200128828,0.318843796524257,0.13578510813243924,-0.384264206363898,-0.22187376723108343,0.5025064700541404,-1.059966153032465,-1.1039747309795123,-0.7920882472510896,-0.5228965793131038,-0.5145958793558502,-0.5483624421423209,-0.8979270620421278,-0.11411368807663348,0.30184337891580926,-0.43431717848504836,-0.9788611968613335,-0.9353105966741567,-0.7831610621260449,-0.33140747343480825,0.10064867417520057,0.12638575205704397,-0.5307595755029062,-0.40983775411215584,-0.9678416757785234,-1.0799749122715998,-0.9241942926060667,-1.1378255452897743,-0.7791790144812862,-0.6914154539249591,-0.3233205965506086,-0.847358897411572,-0.5282999086105267,-0.49110924799958033,-0.4943860319342255,-0.16598582808072113,-1.1334338771475945
2017,云南省,0.11198039262902407,0.2746270524431075,0.15785186186257733,-0.37601285865563155,-0.3757443757616346,0.3440900971808123,-1.0731088026357696,-1.095436491029676,-0.8005013015166028,-0.43712703984974277,-0.4825988137917097,-0.5342969700777787,-0.7866621361358468,-0.30271281376490544,1.1006325567909165,-0.23831926368135598,-0.9898757915470769,-0.9305384100980781,-0.7676912744712397,-0.3283862408815946,0.11137654775196515,0.1282489684939476,-0.46935626875133085,-0.43589075913624814,-1.0068846665715798,-1.5035890451226823,-0.9646675814870597,-1.4652467342605595,-0.7851785039127248,-0.7237044833879335,-0.3305396301115255,-1.0124867536374624,-0.46365650128916297,-0.1836815739006584,-0.4232837308419789,-0.8691642475845947,-1.1648677116962642
2018,云南省,0.11485005025792101,0.20226212346131686,0.1531237586386093,-0.2273114778223313,-0.2896333012628861,0.17952163215706377,-0.7051146137432373,-0.7047184185320845,-0.7037789128069334,-0.340109414774094,-0.20198257366669425,-0.20983075031348283,1.483016833155718,0.5341829507996804,1.1053522212091944,0.6015544557954208,-0.9806335884733974,-0.944854969826314,-0.7762698891975485,-0.3196859442594433,0.11952777691890024,0.15035640210752593,-0.3770987808925055,-0.4006089466898284,-0.8646664035110819,0.11123250459063543,-0.8319151939574022,-0.14878134320240108,-0.749610556240007,-0.4033625989955956,-0.27436165113964,0.14922270108843058,-0.3775404895688695,0.062462420831544054,-0.31689840113665557,0.43234443924251975,-1.094042918795082
2019,云南省,0.12468582548150292,0.20791710499895896,0.15688239000098989,-0.1814705707776667,-0.2176387963540956,0.1856737243074847,-0.6021638585173501,-0.602100990318202,-0.5135236999168276,-0.24517869993829314,-0.18442862797525597,0.3482876117741582,-0.3027598887292935,1.0174174726991427,0.7116439149407326,-0.3114056078290364,-0.5577014863311207,-0.5439912974357015,-0.6776441009924475,-0.16289384591203152,0.12242682200032057,0.14561958266320232,-0.27274235758056453,-0.09118527364506955,-0.6812195885939314,0.34498180552359076,-0.6627368464348508,0.10411513347654157,-0.6538634079038452,0.24059609584881603,-0.2030772384722508,0.33737129567729784,-0.2778376317075133,0.11944509098345549,-0.19535282111535765,0.3931098834346221,-0.7252152776155865
2020,云南省,0.07790520069371036,0.29541617260645286,0.052394060049353666,-0.11027397604590534,0.4542534498495824,0.6545708077821595,-0.22740120507911618,-0.31457086167443604,-0.4387861936724222,-0.1912143855882633,-0.10172016374696101,0.5573406344442113,0.6141434680082197,0.1307696872606202,-0.5352510958736378,-0.16109952218381474,-0.4466234285553339,-0.43184491289785143,-0.4836448565389232,-0.11455877353137184,0.13236332296013778,0.14938514303234057,-0.17063070668223163,-0.0718292793168252,-0.3957945882846092,-0.07620605401712767,-0.3502102043535987,0.12902501622165566,-0.5295360646808416,0.1752531026945762,-0.10966681109388426,-0.2638567680221023,-0.18955309464660952,-0.1399168196498051,-0.05513868345076793,-0.5597080324734243,-0.6593852338118246
2021,云南省,0.06902953164682583,0.2585592247072603,0.03877289581526689,-0.05304201839826117,0.5135995084057692,0.596325875348053,-0.05017257517855177,-0.13859372192227518,-0.41017256405509983,-0.08563803816418061,0.10937158823868777,0.5593220630519806,-0.02045601285707974,-0.10886651127626266,0.5731405994951326,0.09689715586568086,-0.13538693785705236,-0.02360821224719759,-0.4074365912120224,-0.03948843174552553,0.08510362938862598,0.04470418968284165,-0.11258431740338434,0.019369850077855487,-0.1888625174769968,0.15398783689683884,-0.10817993684525952,0.32713518460110336,-0.428618805484007,-0.4048680356782474,-0.04840899092119,-0.18835151174933848,-0.09819591033770828,-0.06726752427523817,0.05948117070675753,0.2607115370112256,-0.6737098958790906
2022,云南省,0.0701286462518117,0.2169564809844161,0.042219381716311136,-0.004297139022300844,0.48395471226685566,0.4794361244900638,0.06811127125119057,-0.007920477577004002,-0.4103019956591847,-0.029140341999014337,0.16666509930978674,0.5839832790405795,-0.25924516198792347,-0.23740550978387007,-0.6719138213680876,-0.25174745657548264,0.05509921285670908,0.16945059568806725,-0.378259874093423,0.020857468755317667,0.07613706681489624,0.031057914941784094,0.0009782439861081213,0.25213180718965295,0.02832462286747356,-0.42701699681643956,0.13951659110641823,-0.5399066211227789,-0.3931398332901453,-0.6618206854240636,0.013869610606108277,-0.3472948792279883,-0.020636475767956807,-0.05320842114249401,0.18873048464161662,0.17564952143111692,-0.7318413954621775
2014,内蒙古自治区,-0.68818156830044,-0.7702069025963378,-0.619600141998843,-0.8173474120220092,-1.4951883442453655,-0.9601534387083346,-0.9548249562060273,-0.7856662823101698,-0.4913908956183235,-0.6934949077880832,-0.7609189681933726,1.2791836010423794,0.6851635398835253,0.6354225384906975,-0.3110070873602378,-0.1975848609725838,-0.927694363283045,-1.0784761939565184,-0.6116170487473198,-0.8405859210909654,-0.6913464672463143,-0.623677816366863,-0.68623239956308,-0.7340166295843528,-0.8077046747866168,-0.20522764877436572,-0.9751906365961177,-0.39890734490587587,-0.543125480228271,-0.049330013491587894,-0.8169145527604069,-0.5694828987141143,-0.674400685346569,-0.8129335186163971,-0.7290790677010656,-0.8657291999946304,1.083720064947763
2015,内蒙古自治区,-0.6872371930300665,-0.7920632005205136,-0.6152308518235133,-0.8020568229348634,-1.5587129074001804,-1.066277028303088,-0.9000639161922576,-0.7110415522665771,-0.49066977668127953,-0.6614571285148466,-0.6672485463181035,0.45897521151791737,-0.4385057531752423,-0.23340077739499965,-0.3605587174795994,0.2117023632902434,-0.6453233615434665,-0.8160059322721888,-0.4610765008743264,-0.7850331408204853,-0.6888284443296544,-0.6285288282848216,-0.6528593319191082,-0.7075008230081081,-0.7327516845953308,-0.26550000533171225,-0.9104333743865286,-0.4839586689531732,-0.5175053088612303,-0.18134179972268946,-0.8022798133959799,-0.5919011717599644,-0.6573295663143449,-0.6921061971430328,-0.6901695763325487,-0.48724423218368346,1.0024119003391274
